	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_1	n_2	n_3	n_4	n_5	n_6	t_7	t_8	t_9	t_10	t_11	t_12	n_1.1	n_2.1	n_3.1	n_4.1	n_5.1	n_6.1	t_7.1	t_8.1	t_9.1	t_10.1	t_11.1	t_12.1	Certeza	DE
ISG15	868.921537006282	-2.0156650036271797	0.5066152874939011	-3.97868965541519	6.92961228709422e-05	0.000657828233330933	430	432	767	406	771	210	1438	460	2048	3652	108	269	333.380626933942	368.297740474332	376.612449356327	384.289851021731	481.735801499566	124.68770934360701	1301.5306975545402	476.596107143321	1997.7118122185	3315.3269099105896	928.842385828526	338.046352790396	99.93	UP_t_DOWN_n
AK4	175.437038630345	-2.02478685060325	0.50917392681928	-3.97661141695086	6.99042540546703e-05	0.000662283790826707	83	75	123	135	74	95	111	263	543	561	5	184	64.3502140360865	63.940579943460506	60.3954775369338	127.781108098359	46.236639832643206	56.4063447030604	100.465860520552	272.488643866725	529.66675489973	509.28214579951896	43.0019623068762	231.228732020197	99.93	UP_t_DOWN_n
EXOSC1	327.094067566985	-1.0555994428120101	0.26564500117098605	-3.97372221633699	7.07580810598297e-05	0.000668989917695653	286	252	409	190	365	376	365	474	639	286	66	306	221.73688210025003	214.840348610027	200.82723831386903	179.840078064357	228.059101877227	223.250374824744	330.360712522536	491.10120605637803	623.309496097472	259.63403511347997	567.625902450766	384.54343477271794	99.93	UP_t_DOWN_n
TRIM6	99.48395489661999	-2.41558874742174	0.608089677031831	-3.97242189542265	7.11455673847101e-05	0.000671729474476381	33	26	61	43	66	40	33	76	46	94	64	176	25.5850248577212	22.166067713733	29.9522286971786	40.7006492461439	41.23808417506021	23.750039874972803	29.868228803407302	78.74196552802691	44.8704801572515	85.33426328904591	550.425117528016	221.17530888888402	99.93	UP_t_DOWN_n
CDCA4	169.58090551062	-1.7737516227847498	0.44698596740809704	-3.9682490102990697	7.24026586171472e-05	0.000682192836195971	79	120	141	86	127	115	118	116	581	475	25	106	61.248998901817295	102.30492790953699	69.2338401033144	81.4012984922878	79.35207106413091	68.2813646405468	106.801545418244	120.18510527962	566.733673290503	431.210373003157	215.009811534381	133.207856489896	99.93	UP_t_DOWN_n
LBR	1079.8852979241901	-0.951827839755325	0.240183735543216	-3.96291546387438	7.404000443711658e-05	0.000696324840914757	951	985	1588	937	963	970	1241	1129	1596	1525	138	1684	737.3138981725099	839.752949924115	779.7399864117959	886.8955428752761	601.70113728156	575.9384669680901	1123.2264225766198	1169.73261948871	1556.8105724124698	1384.4122501680301	1186.85415966978	2116.2455691413697	99.93	UP_t_DOWN_n
VCAM1	331.958156899043	-2.2351582716612004	0.5641653226640989	-3.96188525219229	7.43602781088484e-05	0.000698245043143674	72	115	541	83	267	58	221	435	1073	584	14	745	55.8218724168462	98.0422225799728	265.641897133993	78.56171831232429	166.826795071834	34.4375578187106	200.026623198576	450.694144798575	1046.65272192893	530.161805965987	120.405494459253	936.225029103514	99.93	UP_t_DOWN_n
DANCR	326.535890651272	-1.4305030587585101	0.36115611815266296	-3.9608994195519305	7.466798156245429e-05	0.0006992239390593049	217	147	439	154	356	304	246	476	708	230	64	553	168.240921034106	125.323536689183	215.55784259117002	145.76511590479402	222.435726762446	180.50030304979302	222.654069261764	493.173363043958	690.6152163333501	208.79660166468702	550.425117528016	694.942873952004	99.93	UP_t_DOWN_n
EXO5	117.607767837959	-1.2329569561732299	0.311256537284741	-3.96122429083413	7.45664481907501e-05	0.0006992239390593049	68	58	146	102	116	122	96	162	169	216	28	111	52.720657282576894	49.4473818229428	71.68894081619791	96.54572611876	72.47905703495421	72.437621618667	86.8893928826396	167.844715993952	164.850242316859	196.087243302488	240.810988918507	139.491245946966	99.93	UP_t_DOWN_n
LACTB2	399.68232504809504	-2.1861821481087	0.551891030943316	-3.96125688865062	7.45562674708136e-05	0.0006992239390593049	192	178	315	109	246	256	193	247	411	289	61	1841	148.858326444923	151.75230973248	154.67134491166001	103.171413205342	153.705586470679	152.000255199826	174.68388360780702	255.911387966087	400.907985752834	262.357469048237	524.6239401438901	2313.54399809338	99.93	UP_t_DOWN_n
ZCRB1	703.194197908864	-1.1578548050813202	0.292310104370258	-3.9610495421489302	7.46210468849443e-05	0.0006992239390593049	580	494	874	452	620	836	714	605	1105	851	108	1412	449.676194469038	421.155286560927	429.151604612034	427.830080447838	387.388063462686	496.375833386932	646.2398595646321	626.827488742846	1077.86696899485	772.547426159341	928.842385828526	1774.42918267673	99.93	UP_t_DOWN_n
LOC102724562	254.530266456433	-4.42481017173347	1.1173748930393501	-3.96000500753838	7.49481917754592e-05	0.0007008930560117269	43	20	37	32	31	30	79	2400	29	8	36	12	33.3380626933942	17.050821318256098	18.1677452753378	30.288855252944302	19.3694031731343	17.8125299062296	71.5027295596721	2486.5883850955897	28.287911403484696	7.26249049268476	309.614128609509	15.080134696969301	99.93	UP_t_DOWN_n
HDHD3	380.153871622801	-1.8355899025150002	0.463579023594193	-3.95960517860237	7.507377549601401e-05	0.000701590205128283	243	163	314	172	251	326	150	1169	216	619	116	358	188.398819406856	138.964193743787	154.180324769083	162.80259698457598	156.829683756668	193.56282498102797	135.76467637912398	1211.1757592403098	210.69616769492	561.935201871483	997.6455255195281	449.890685126252	99.93	UP_t_DOWN_n
