baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_1	n_2	n_3	n_4	n_5	n_6	t_7	t_8	t_9	t_10	t_11	t_12	n_1.1	n_2.1	n_3.1	n_4.1	n_5.1	n_6.1	t_7.1	t_8.1	t_9.1	t_10.1	t_11.1	t_12.1	Certeza	DE
HMGB3	2723.48498808253	-3.9087298053416	0.432240685591991	-9.04294744949392	1.52503192512484e-19	7.22917719816935e-17	675	389	431	149	551	821	6540	1898	2572	4548	757	7646	523.330053907933	331.638474640082	211.629681450557	141.032482271522	344.275520916033	487.469568433817	5919.33989012982	1966.47698121309	2508.84510792285	4128.72584509129	6510.49709326106	9608.5591577523	100	UP_t_DOWN_n
GINS1	204.590626451789	-4.85117838219239	0.537588076053613	-9.02396946339373	1.81394577317908e-19	8.3121041812976e-17	14	18	42	16	12	22	233	115	1180	447	16	277	10.8542529699423	15.3457391864305	20.6228459882213	15.1444276264722	7.49783348637458	13.062521931235	210.887797308906	119.14902678583	1151.02536055558	405.791656278761	137.606279382004	348.099775921709	100	UP_t_DOWN_n
CDCA7	247.686151078594	-4.4277576149473	0.491653458618453	-9.00585063997984	2.1400029909671e-19	9.48987777962087e-17	22	24	42	40	44	16	110	583	936	472	26	454	17.0566832384808	20.4609855819074	20.6228459882213	37.8610690661804	27.4920561167068	9.50001594998912	99.5607626780245	604.033761879469	913.016726677988	428.486939068401	223.610203995756	570.531762702007	100	UP_t_DOWN_n
HJURP	152.646036632041	-4.96180774412215	0.554158796249545	-8.95376519817577	3.43559151504901e-19	1.47590864241809e-16	18	16	24	0	11	18	110	386	414	503	12	248	13.9554681042115	13.6406570546049	11.7844834218407	0	6.87301402917669	10.6875179437378	99.5607626780245	399.926298602873	403.834321415264	456.629089727554	103.204709536503	311.6561170707	100	UP_t_DOWN_n
NUSAP1	325.772452716665	-3.71532226621496	0.422225783737103	-8.79937324843309	1.37582369917807e-18	5.73134799775788e-16	89	68	50	63	61	50	358	953	977	610	24	482	69.0020367374904	57.9727924820709	24.5510071288349	59.6311837792341	38.1139868890708	29.687549843716	324.025027624843	987.382804581705	953.00998073119	553.764900067213	206.409419073006	605.718743661602	100	UP_t_DOWN_n
TPX2	405.302188678954	-4.88530269074789	0.556479683403512	-8.77894168726638	1.65020054815942e-18	6.67214909869044e-16	32	40	48	24	36	54	654	413	1824	1532	6	368	24.8097210741538	34.1016426365123	23.5689668436815	22.7166414397082	22.4935004591237	32.0625538312133	591.933989012982	427.900417935199	1779.2120827571	1390.76692934913	51.6023547682515	462.457464040393	100	UP_t_DOWN_n
MYBL2	253.937265577105	-4.86429445181855	0.558083163431117	-8.71607453970244	2.88013730827305e-18	1.13123564505228e-15	35	34	29	8	23	16	428	171	1366	732	16	196	27.1356324248558	28.9863962410354	14.2395841347242	7.57221381323608	14.3708475155513	9.50001594998912	387.381876601768	177.16942243806	1332.45817162621	664.517880080655	137.606279382004	246.308866717166	100	UP_t_DOWN_n
NCAPG	114.921136088025	-3.99263974418858	0.458910175429101	-8.70026414309792	3.31112549974947e-18	1.26439006236267e-15	35	17	19	7	25	16	194	151	386	296	7	206	27.1356324248558	14.4931981205177	9.32938270895726	6.62568708658157	15.620486429947	9.50001594998912	175.588981450334	156.447852562264	376.521855232589	268.712148229336	60.2027472296267	258.875645631307	100	UP_t_DOWN_n
ATP10B	73.3856814927605	-5.35245529763045	0.615452781910486	-8.69677651145777	3.41444985420099e-18	1.2686065444784e-15	2	8	12	2	4	4	101	151	32	398	10	106	1.55060756713462	6.82032852730245	5.89224171092037	1.89305345330902	2.49927782879152	2.37500398749728	91.414882095277	156.447852562264	31.2142470659141	361.308902011067	86.0039246137524	133.207856489896	100	UP_t_DOWN_n
BIRC5	344.676858009101	-5.18783139005278	0.600960253369797	-8.6325698928719	5.99886648145017e-18	2.1701688821183e-15	32	36	29	6	32	26	459	410	1703	716	4	668	24.8097210741538	30.691478372861	14.2395841347242	5.67916035992706	19.9942226303322	15.4375259187323	415.43990972012	424.792182453829	1661.18321103912	649.992899095286	34.401569845501	839.460831464627	100	UP_t_DOWN_n
RAMP2	893.482154886752	2.86992968059714	0.338023631406575	8.49032261044845	2.06064265419122e-17	7.2635011710684e-15	1947	1561	3485	2402	2800	1430	367	142	232	114	31	177	1509.51646660555	1330.81660388989	1711.20519687979	2273.55719742413	1749.49448015407	849.063925530278	332.170908207591	147.123146118155	226.303291227877	103.490489520758	266.612166302633	222.431986780298	100	DOWN_t_UP_n
FABP4	749.5596182708	4.2435187948285	0.501927188244552	8.45445095267671	2.8040363020989e-17	9.46059339693274e-15	1610	2652	2317	727	3101	2136	141	61	24	17	10	110	1248.23909154337	2260.93890680076	1137.69367035021	688.124930277829	1937.56513677063	1268.25212932355	127.618795796377	63.2007881211795	23.4106852994356	15.4327922969551	86.0039246137524	138.234568055552	100	DOWN_t_UP_n
SAPCD2	126.404761390665	-4.61515414167551	0.545931581396458	-8.45372258895564	2.8215925603713e-17	9.46059339693274e-15	18	16	15	2	12	26	332	113	359	555	9	86	13.9554681042115	13.6406570546049	7.36530213865047	1.89305345330902	7.49783348637458	15.4375259187323	300.492483719128	117.07686979825	350.184834270724	503.835277930005	77.4035321523772	108.074298661614	100	UP_t_DOWN_n
DLGAP5	186.192429541445	-5.11982315228886	0.606503004002884	-8.4415462388452	3.13166992243728e-17	1.02502539104155e-14	20	7	8	12	22	21	235	154	833	344	3	516	15.5060756713462	5.96778746138965	3.92816114061358	11.3583207198541	13.7460280583534	12.4687709343607	212.697992993961	159.556088043633	812.545868934577	312.287091185445	25.8011773841257	648.445791969682	100	UP_t_DOWN_n
CENPF	438.402982487257	-4.18851241935805	0.500699358880912	-8.36532411129822	5.99498997790049e-17	1.91658435409763e-14	78	34	50	35	58	153	874	652	1291	1788	17	391	60.47369511825	28.9863962410354	24.5510071288349	33.1284354329078	36.2395285174771	90.843902521771	791.055514369031	675.523177950967	1259.29978006547	1623.16662511504	146.206671843379	491.361055542918	100	UP_t_DOWN_n
CTHRC1	1198.2692623748	-5.42746196112183	0.649054437245095	-8.36210593391618	6.16084858514781e-17	1.92484512500061e-14	76	38	118	53	176	29	568	657	3682	2163	38	5551	58.9230875511154	32.3965605046867	57.9403768240503	50.165916512689	109.968224466827	17.2187789093553	514.095574555617	680.703570419916	3591.58930302174	1963.59586695964	326.814913532259	6975.81897523974	100	UP_t_DOWN_n
FZD4	1544.19466765538	2.99077248615325	0.359511942397306	8.31897952043016	8.87238771071886e-17	2.71041586353894e-14	3688	1747	5724	4926	3784	3807	660	226	210	323	57	210	2859.32035379623	1489.38924214967	2810.59929610902	4662.59065550011	2364.31682603678	2260.41004510054	597.364576068147	234.153739596501	204.843496370061	293.223053642147	490.222370298389	263.902357196964	100	DOWN_t_UP_n
CCNB1	498.845876660172	-4.17368468241015	0.502723373164702	-8.30214966162468	1.02244294029665e-16	2.99053682984214e-14	74	73	86	35	81	117	488	654	1440	865	16	1770	57.3724799839808	62.2354978116349	42.227732261596	33.1284354329078	50.6103760330284	69.4688666342954	441.687747153418	677.595334938547	1404.64111796613	785.256784521539	137.606279382004	2224.31986780298	100	UP_t_DOWN_n
KCNA5	62.0102164082289	4.50892975652476	0.543072864379462	8.30262392446519	1.01836837548584e-16	2.99053682984214e-14	118	79	360	103	150	320	14	2	4	4	0	4	91.4858464609423	67.3507442071117	176.767251327611	97.4922528454145	93.7229185796822	190.000318999782	12.6713697953849	2.07215698757965	3.90178088323926	3.63124524634238	0	5.02671156565645	100	DOWN_t_UP_n
EEF1A2	73.6481532359404	-4.85917138691092	0.588511105302222	-8.256719955039	1.49730172611059e-16	4.28820975600881e-14	0	10	12	2	13	7	129	125	50	91	32	161	0	8.52541065912807	5.89224171092037	1.89305345330902	8.12265294357246	4.15625697812024	116.757621686047	129.509811723728	48.7722610404908	82.6108293542891	275.212558764008	202.325140517672	100	UP_t_DOWN_n
DNAJC12	494.816172773823	-5.94833085190898	0.721745065365014	-8.2415954571171	1.69929279493918e-16	4.76738327592426e-14	34	16	18	6	30	36	725	1251	146	115	21	2756	26.3603286412885	13.6406570546049	8.83836256638056	5.67916035992706	18.7445837159364	21.3750358874755	656.195935832434	1296.13419573107	142.415002238233	104.398300832343	180.60824168888	3463.40426873729	100	UP_t_DOWN_n
CCNB2	185.532817258266	-4.32579141854022	0.526590251206305	-8.21471990533581	2.12660047570461e-16	5.84687534790225e-14	29	16	17	20	34	37	201	167	776	298	8	532	22.4838097234519	13.6406570546049	8.34734242380386	18.9305345330902	21.243861544728	21.9687868843498	181.924666348027	173.025108462901	756.945491348417	270.527770852507	68.8031396910019	668.552638232308	100	UP_t_DOWN_n
CDC6	204.149048828107	-4.75765732161244	0.579613563761746	-8.20832640757198	2.24292786060817e-16	5.92952486534242e-14	22	22	27	10	25	23	150	185	1237	480	6	271	17.0566832384808	18.7559034500817	13.2575438495708	9.4652672665451	15.620486429947	13.6562729281094	135.764676379124	191.674521351118	1206.62573814174	435.749429561085	51.6023547682515	340.559708573224	100	UP_t_DOWN_n
CRABP2	1766.76391086236	-6.63205309274256	0.807865395457402	-8.20935409541535	2.22381511568601e-16	5.92952486534242e-14	31	80	35	14	53	94	125	37	6680	7657	573	1944	24.0344172905865	68.2032852730245	17.1857049901844	13.2513741731631	33.1154312314877	55.8125937061861	113.137230315937	38.3349042702236	6515.97407500957	6951.1112128109	4928.02488036801	2442.98182090903	100	UP_t_DOWN_n
PSAT1	276.911218082798	-4.63092385505924	0.564743210184188	-8.2000522919946	2.40282486236934e-16	6.23238365716817e-14	30	12	70	18	34	38	167	250	1007	194	28	1102	23.2591135070192	10.2304927909537	34.3714099803688	17.0374810797812	21.243861544728	22.5625378812242	151.151339702092	259.019623447457	982.273337355485	176.115394447605	240.810988918507	1384.85903633835	100	UP_t_DOWN_n
SPP1	2953.23884767069	-6.66349193602184	0.815191128770374	-8.17414677472384	2.97966910597454e-16	7.58546503700593e-14	20	70	246	28	148	52	1132	1049	7390	1089	37	19469	15.5060756713462	59.6778746138965	120.790955073868	26.5027483463263	92.4732796652864	30.8750518374646	1024.57075774112	1086.84633998553	7208.54018178454	988.606518316713	318.214521070884	24466.2618679413	100	UP_t_DOWN_n
SPINK1	10235.6922577162	-10.4804798721138	1.28296126645675	-8.16897606040635	3.11017863610125e-16	7.77375012917888e-14	36	18	14	12	24	16	12200	100725	79	24	179	4538	27.9109362084231	15.3457391864305	6.87428199607377	11.3583207198541	14.9956669727492	9.50001594998912	11042.1936788354	104359.00628698	77.0601724439754	21.7874714780543	1539.47025058617	5702.80427123724	100	UP_t_DOWN_n
AURKB	122.314924411144	-4.43852801951576	0.544243804760116	-8.15540384786211	3.48015007882729e-16	8.49399261804362e-14	28	10	18	12	13	12	144	238	624	273	5	100	21.7085059398846	8.52541065912807	8.83836256638056	11.3583207198541	8.12265294357246	7.12501196249184	130.334089323959	246.586681521979	608.677817785325	247.832488062867	43.0019623068762	125.667789141411	100	UP_t_DOWN_n
DEPDC1B	103.600799837277	-4.82654355632947	0.591926174055585	-8.15396204438872	3.52191444845047e-16	8.49399261804362e-14	16	10	14	4	16	2	131	123	487	121	6	253	12.4048605370769	8.52541065912807	6.87428199607377	3.78610690661804	9.9971113151661	1.18750199374864	118.567817371102	127.437654736149	475.04182253438	109.845168701857	51.6023547682515	317.93950652777	100	UP_t_DOWN_n
SPAG5	447.82522577316	-3.73825648964206	0.459252449136555	-8.1398727359438	3.95693598548364e-16	9.37862051593855e-14	86	95	102	40	110	120	371	1934	861	1202	38	319	66.6761253867885	80.9914012617166	50.0840545428232	37.8610690661804	68.7301402917669	71.2501196249184	335.791299577701	2003.77580698953	839.858335117251	1091.18919652588	326.814913532259	400.880247361102	100	UP_t_DOWN_n
CENPE	110.924938149072	-3.08809120371929	0.37950974161466	-8.13705384894922	4.05012608396695e-16	9.436793775643e-14	24	32	37	28	29	57	159	173	328	215	8	224	18.6072908056154	27.2813141092098	18.1677452753378	26.5027483463263	18.1197642587386	33.8438068218362	143.910556961872	179.24157942564	319.94603242562	195.179431990903	68.8031396910019	281.495847676761	100	UP_t_DOWN_n
UBE2T	304.096137340177	-4.97182328602028	0.611306344771958	-8.13311251967288	4.18405928299314e-16	9.58637716055112e-14	26	20	24	16	44	36	150	250	877	507	8	1398	20.15789837275	17.0508213182561	11.7844834218407	15.1444276264722	27.4920561167068	21.3750358874755	135.764676379124	259.019623447457	855.465458650208	460.260334973897	68.8031396910019	1756.83569219693	100	UP_t_DOWN_n
PTPRH	117.02515678678	-5.45333433452042	0.671967380848462	-8.11547478336635	4.83889187325416e-16	1.09049584560041e-13	4	15	6	2	6	12	44	480	54	535	16	127	3.10121513426923	12.7881159886921	2.94612085546019	1.89305345330902	3.74891674318729	7.12501196249184	39.8243050712098	497.317677019117	52.6740419237301	485.679051698293	137.606279382004	159.598092209592	100	UP_t_DOWN_n
CKAP2L	72.7155815101409	-3.89511723439374	0.481449016581237	-8.09040438394269	5.94669669003796e-16	1.3185361193218e-13	20	8	9	12	10	20	73	93	217	195	6	170	15.5060756713462	6.82032852730245	4.41918128319028	11.3583207198541	6.24819457197881	11.8750199374864	66.0721425045072	96.3552999224539	211.67161291573	177.023205759191	51.6023547682515	213.635241540399	100	UP_t_DOWN_n
CENPA	87.884168308981	-5.5813935508117	0.694365052830965	-8.03812566323154	9.12230543075318e-16	1.9905449643899e-13	12	5	5	4	0	4	75	70	337	195	4	280	9.30364540280769	4.26270532956403	2.45510071288349	3.78610690661804	0	2.37500398749728	67.8823381895621	72.5254945652879	328.725039412908	177.023205759191	34.401569845501	351.869809595951	100	UP_t_DOWN_n
HELLS	195.038019461077	-2.93087925726267	0.365501924479633	-8.0187792757463	1.06801223453324e-15	2.29405690439507e-13	58	33	65	38	119	90	234	166	454	436	59	272	44.9676194469038	28.1338551751226	31.9163092674854	35.9680156128714	74.3535154065479	53.4375897186888	211.792895151434	171.989029969111	442.852130247656	395.805731851319	507.423155221139	341.816386464639	100	UP_t_DOWN_n
CDK1	487.404227150775	-3.44406708068535	0.429620638599363	-8.01653079776055	1.08773662106593e-15	2.30047928150666e-13	131	102	161	75	87	169	447	617	1853	497	53	1271	101.564795647317	86.9591887231063	79.0542429548483	70.9895044990882	54.3592927762157	100.34391847176	404.57873560979	639.260430668323	1807.49999416059	451.182221858041	455.820800452888	1597.23759998734	100	UP_t_DOWN_n
NDC80	111.282383114416	-3.78360488940886	0.473619142369277	-7.98870769978045	1.3636057779757e-15	2.84022554997453e-13	28	15	31	17	26	16	71	165	402	260	8	248	21.7085059398846	12.7881159886921	15.2216244198776	16.0909543531267	16.2453058871449	9.50001594998912	64.2619468194522	170.952951475321	392.128978765546	236.030941012255	68.8031396910019	311.6561170707	100	UP_t_DOWN_n
TTK	184.099646560077	-4.9195310551026	0.616711614813564	-7.97703648988321	1.49888523708581e-15	3.0753993065998e-13	29	15	12	2	16	30	165	92	991	422	14	337	22.4838097234519	12.7881159886921	5.89224171092037	1.89305345330902	9.9971113151661	17.8125299062296	149.341144017037	95.3192214286641	966.666213822528	383.096373489121	120.405494459253	423.500449406556	100	UP_t_DOWN_n
CEACAM1	759.519992711324	-3.37545861855597	0.423847827003866	-7.9638455207302	1.66773441192447e-15	3.37152131775377e-13	177	208	260	146	188	173	880	731	3288	1349	215	381	137.228769691413	177.328541709864	127.665237069941	138.192902091558	117.466057953202	102.718922459257	796.486101424196	757.373378960364	3207.26388602267	1224.63745932897	1849.08437919568	478.794276628777	100	UP_t_DOWN_n
TMEM204	1149.48345548514	3.12955259895093	0.393265619446366	7.95785963531892	1.75040761678161e-15	3.48737007360823e-13	3609	2516	4941	2327	2533	2067	571	128	137	304	26	103	2798.07135489441	2144.99332183662	2426.13052447146	2202.56769292504	1582.66768508223	1227.28331053922	516.8108680832	132.618047205098	133.635995250945	275.974638722021	223.610203995756	129.437822815654	100	DOWN_t_UP_n
FAM83A	223.789883135962	-5.6456368698653	0.710942367063481	-7.94106123283153	2.00458677908369e-15	3.93672206458051e-13	9	6	8	0	20	40	884	565	399	732	4	127	6.97773405210577	5.11524639547684	3.92816114061358	0	12.4963891439576	23.7500398749728	800.106492794306	585.384348991252	389.202643103117	664.517880080655	34.401569845501	159.598092209592	100	UP_t_DOWN_n
GINS2	153.881615295733	-4.70324806461454	0.593743302864522	-7.92134924625451	2.34946993618754e-15	4.54903707222115e-13	8	10	36	8	26	20	83	281	389	133	8	671	6.20243026853846	8.52541065912807	17.6767251327611	7.57221381323608	16.2453058871449	11.8750199374864	75.1231209297821	291.138056754941	379.448190895018	120.738904440884	68.8031396910019	843.230865138869	100	UP_t_DOWN_n
