Gene	t_7	t_8	t_9	t_10	t_11	t_12	n_1	n_2	n_3	n_4	n_5	n_6
FPR1	242	104	48	241	0	184	421	515	384	84	553	992
FPR2	111	22	6	71	0	26	433	383	304	72	440	816
FPR3	581	327	256	603	12	231	198	248	683	89	381	274
FRA10AC1	199	280	484	143	90	219	347	253	569	322	383	437
FRAS1	378	76	165	76	6	605	682	484	654	478	749	459
FRAT1	140	182	46	204	8	20	146	50	122	113	139	227
FRAT2	291	341	200	243	24	88	196	139	207	176	145	259
FREM1	66	19	40	59	2	27	145	60	147	45	122	126
FREM2	190	212	419	13	23	361	370	376	552	211	590	882
FRG1BP	127	80	134	73	11	53	184	108	180	106	132	250
FRG1CP	87	190	616	158	20	245	139	113	141	99	223	163
FRG1EP	4	14	29	13	4	0	19	5	9	10	34	18
FRG1HP	45	121	91	96	36	158	110	100	248	133	159	281
FRG1JP	9	33	28	20	1	10	29	9	45	21	48	67
FRK	297	237	372	749	50	283	240	410	378	144	404	628
FRMD3	83	82	25	31	2	77	486	236	592	412	150	299
FRMD4A	325	392	156	428	39	53	437	694	1044	588	1289	777
FRMD4B	608	721	327	324	119	251	956	1544	2045	826	2368	1244
FRMD5	88	0	122	106	2	24	6	2	6	2	20	6
FRMD6	166	113	683	399	16	724	232	353	588	343	498	310
FRMD8	611	538	389	804	55	100	584	773	1650	637	1232	602
FRRS1	134	337	198	155	15	279	185	119	227	166	162	217
FRS2	492	227	328	386	50	413	516	530	1001	498	587	711
FRS3	98	172	120	191	19	12	183	95	245	187	181	216
FRY	485	203	87	267	64	317	2228	1650	2195	2849	1745	2276
FRYL	455	219	129	171	22	145	956	675	1494	1552	565	1286
FRZB	269	110	256	167	24	336	250	341	505	363	533	168
FSCN1	275	252	1401	706	2	59	363	238	567	460	488	246
FSCN2	65	25	32	37	0	15	50	20	64	31	80	79
FSD1L	152	94	48	107	16	114	123	144	351	129	331	539
FSD2	17	39	32	23	11	25	10	8	19	11	20	29
FSIP2	24	169	31	8	6	34	20	4	32	14	33	57
FST	60	1776	14	63	0	122	178	251	583	150	348	161
FSTL1	2485	1175	6325	4227	93	3759	4701	3763	7122	4142	6136	5404
FSTL3	871	182	125	494	40	62	1548	6001	5102	1426	4241	1372
FSTL4	21	25	111	75	4	43	12	124	105	79	29	43
FTCDNL1	54	45	20	48	4	133	30	22	36	16	44	82
FTH1	3669	3107	2035	5522	94	654	3136	3810	6129	2001	4707	4489
FTL	55086	68444	28778	72536	3819	19419	42866	45748	117901	26326	87088	42116
FTO	453	159	566	289	69	304	1030	860	1540	750	925	3409
FTO-IT1	24	6	2	4	0	61	74	17	73	40	62	338
FTSJ1	424	384	704	618	76	446	472	436	776	322	613	559
FTSJ3	789	814	1136	1036	41	180	786	808	1243	852	926	1074
FTX	25	37	2	23	9	36	46	30	61	66	59	68
FUBP1	972	351	651	865	27	397	566	739	1413	655	656	1149
FUBP3	850	667	1233	862	132	804	969	940	1542	881	1028	1151
FUCA1	1302	1259	939	1926	164	1332	942	726	2865	554	1928	1415
FUCA2	943	1134	2684	1872	116	1883	783	785	1428	537	983	997
FUNDC1	182	159	376	412	12	489	166	128	256	141	162	233
FUNDC2	839	889	1537	1098	33	2776	841	894	1591	616	948	875
FUOM	172	442	88	194	0	87	179	133	258	59	326	136
FURIN	12254	7968	482	2455	84	363	2507	3702	5477	1593	3483	2305
FUS	3840	3703	3218	5314	568	1226	4192	4561	5622	2633	5427	3976
FUT1	316	12	152	65	9	48	630	330	573	609	376	416
FUT10	46	36	71	36	2	72	69	64	102	120	59	141
FUT11	147	47	95	102	14	73	191	211	385	239	164	264
FUT2	313	84	146	688	0	21	10	14	30	12	27	100
FUT3	131	468	135	299	30	222	33	135	48	26	69	135
FUT4	275	123	81	286	8	42	137	101	186	97	124	166
FUT8	978	359	1237	1043	44	1543	333	349	550	229	334	515
FUZ	141	93	300	188	7	68	193	131	289	131	229	681
FXN	76	95	240	111	16	152	121	88	154	118	122	163
FXR1	1216	1142	1584	1348	133	539	1293	1406	2096	1309	1377	1955
FXR2	615	245	370	405	48	61	889	883	1233	567	943	830
FXYD1	75	485	44	10	4	38	527	392	766	394	570	466
FXYD3	1711	10732	1873	3196	64	3332	2810	1685	2894	1319	2728	2776
FXYD5	605	909	1758	1776	117	549	879	990	1925	747	1611	798
FXYD6	505	411	543	380	9	176	1489	1128	2026	1511	1380	1061
FYB1	689	1000	313	1151	32	473	247	340	761	137	368	230
FYB2	78	160	17	22	2	174	274	74	151	169	156	838
FYCO1	715	299	174	282	66	245	1115	892	1770	1051	1132	1917
FYN	618	565	342	612	29	181	1229	1237	2833	1305	1632	1007
FYTTD1	786	459	1069	947	107	674	1102	1300	2585	996	1418	1367
FZD1	413	136	342	701	28	994	1371	557	920	800	1082	1011
FZD10	68	6	4	30	0	10	49	24	66	19	78	49
FZD10-AS1	44	11	4	17	2	12	68	38	84	61	129	47
FZD2	40	20	265	170	0	30	190	111	192	236	92	146
FZD3	333	77	107	147	24	88	133	71	125	147	107	389
FZD4	660	226	210	323	57	210	3688	1747	5724	4926	3784	3807
FZD5	615	772	262	427	21	290	1336	1302	997	588	561	1311
FZD6	1026	235	935	537	122	2112	1271	907	1504	929	991	1459
FZD7	178	156	807	213	19	244	473	455	626	364	427	435
FZD8	87	26	819	517	36	97	265	140	302	412	151	229
FZR1	589	311	278	580	78	133	775	668	1127	516	1007	836
G0S2	201	142	134	198	12	46	165	1700	551	353	477	102
G2E3	269	220	488	318	48	1353	204	277	408	234	317	372
G3BP1	2105	2105	2099	1567	173	1486	2037	2638	3960	1651	2747	2603
G3BP2	1682	969	1767	1025	67	2313	1971	2398	3584	1413	2523	2619
G6PC3	472	568	1179	889	20	238	513	493	758	309	707	713
G6PD	853	1019	749	3061	483	156	558	602	957	292	615	632
GAA	1233	569	790	1967	34	397	1942	1785	2760	1364	2702	1948
GAB1	458	204	150	339	52	250	1023	826	1299	1662	819	1431
GAB2	1314	251	62	410	51	64	1130	1507	1552	820	1346	1281
GAB3	221	183	127	376	24	90	301	291	481	243	522	334
GABARAP	2845	3093	4796	3022	307	3394	4049	3324	5784	2591	5551	4428
GABARAPL1	1992	1130	309	982	93	459	2806	3237	4249	1768	3825	3173
GABARAPL2	787	991	1011	793	115	3268	1530	1381	2338	1202	1635	1743
GABBR1	10	2	10	17	4	2	15	21	31	31	57	20
GABPA	430	458	762	458	85	511	722	556	1096	860	599	820
GABPB1	408	258	409	250	38	502	310	492	643	233	474	355
GABPB1-IT1	133	188	68	154	18	112	321	202	363	231	378	345
GABPB2	220	179	88	387	107	181	370	276	528	324	512	661
GABRB2	10	0	24	12	0	673	10	220	357	233	155	107
GABRB3	24	120	4	4	0	38	140	72	145	71	46	171
GABRD	4	20	12	17	0	2	20	9	2	16	6	0
GABRE	228	1217	111	680	103	46	546	364	540	791	544	493
GABRP	413	0	108	76	0	12	6	20	53	20	76	206
GABRR2	46	65	22	75	12	20	32	28	50	38	49	13
GAD1	4	30	61	46	7	180	4	8	17	0	7	24
GADD45A	488	373	594	514	12	2321	556	1314	1331	248	1507	479
GADD45B	2761	1558	433	696	40	287	3972	15687	8970	1397	8602	1908
GADD45G	348	879	118	543	59	658	450	609	512	223	442	493
GADD45GIP1	350	619	1151	390	72	936	465	451	756	332	471	392
GAK	2051	2371	538	2273	193	212	1544	1518	2525	1277	2934	1841
GAL3ST1	29	118	12	4	2	24	34	22	28	34	29	26
GAL3ST4	111	27	102	91	2	54	73	56	130	54	143	52
GALC	846	435	590	1135	12	872	1273	1008	1574	652	1342	1855
GALE	1083	1557	612	1147	147	358	363	408	684	241	581	566
GALK1	169	157	219	255	10	84	312	208	501	203	271	264
GALK2	156	235	95	117	3	95	208	214	350	132	232	447
GALM	609	620	339	869	230	297	366	356	637	309	424	512
GALNS	347	500	116	532	40	93	475	399	613	415	746	816
GALNT1	1590	622	3385	1607	105	2025	1089	1184	2180	868	1557	1336
GALNT10	1172	219	1196	1046	98	899	929	1153	1581	671	1051	1234
GALNT11	695	487	374	702	194	385	839	713	1341	631	1006	1264
GALNT12	232	309	1103	1214	40	309	340	330	499	221	451	845
GALNT13	39	3	2	48	2	280	280	229	215	150	129	143
GALNT14	152	117	744	805	2	477	40	16	50	41	12	32
GALNT15	84	32	20	27	0	132	96	139	52	218	28	58
GALNT16	40	4	64	14	6	45	89	84	181	132	166	233
GALNT17	139	2	100	116	14	38	221	185	147	86	139	130
GALNT18	623	147	126	125	36	110	1442	2038	3629	1889	1272	1619
GALNT2	2546	1710	1116	3127	42	560	1177	1838	2265	846	1760	1542
GALNT3	474	610	730	915	91	919	405	654	1226	158	663	1087
GALNT5	767	238	349	737	25	330	1423	855	1472	958	1185	1549
GALNT6	2915	129	2005	2772	44	500	201	121	278	83	215	590
GALNT7	1767	523	1525	566	65	1594	300	345	406	225	415	700
GALT	312	887	181	277	74	149	500	284	654	517	570	529
GAMT	55	98	26	54	30	125	101	50	113	83	92	69
GAN	26	20	23	16	3	34	18	24	77	42	32	82
GANAB	4752	3925	4638	6126	430	1714	4324	4298	6721	3430	5091	4821
GANC	466	321	176	294	77	197	578	777	1159	519	1011	1484
GAPDH	19176	27395	51758	27920	1133	18100	8786	11860	14716	5859	10257	10166
GAPDHS	18	31	29	31	2	21	28	22	27	18	43	59
GAPLINC	12	8	29	8	2	78	13	9	24	16	34	11
GAPT	34	42	20	14	2	30	34	16	54	22	21	48
GAPVD1	876	805	512	562	278	499	1231	957	1767	1066	1263	2011
GAR1	231	125	453	198	12	186	230	265	367	125	255	190
GAREM1	389	115	170	150	32	146	212	599	505	90	558	375
GAREM2	56	22	87	154	12	34	49	30	32	38	28	30
GARNL3	35	8	11	22	2	20	102	47	113	135	91	104
GARS-DT	168	723	147	307	36	46	245	418	444	488	677	540
GARS1	1521	790	3072	1016	120	1132	977	1198	1793	581	1200	1116
GART	574	319	1095	459	31	545	318	419	613	281	456	566
GAS1	109	150	34	598	0	302	356	142	149	156	131	185
GAS2	16	87	210	5	0	33	18	31	33	32	21	29
GAS2L1	316	168	98	350	12	28	727	610	1642	409	1226	640
GAS2L2	54	0	8	6	0	8	201	66	155	32	157	757
GAS2L3	93	118	248	87	13	335	82	42	137	99	125	117
GAS5	901	8463	3014	851	779	8555	884	923	1369	1497	1357	1045
GAS5-AS1	12	16	16	16	0	12	10	3	44	9	20	16
GAS6	1658	455	324	464	49	208	5923	4689	7686	5417	6486	4144
GAS6-AS1	14	19	21	4	24	2	33	14	51	18	95	61
GAS6-DT	14	7	6	4	4	16	59	47	102	68	65	55
GAS7	539	200	168	618	6	84	762	554	1130	419	863	1439
GAS8	200	379	146	140	13	67	374	272	422	239	389	622
GASAL1	28	14	12	12	2	6	29	26	49	10	14	12
GASK1A	45	18	32	29	0	61	60	74	100	37	49	94
GASK1B	583	260	336	997	20	1730	753	348	601	1116	394	435
GATA2	116	15	40	144	30	48	1082	924	2335	1424	684	951
GATA2-AS1	47	6	59	110	8	56	159	130	384	236	156	127
GATA3	60	45	269	117	8	12	76	98	147	180	109	79
GATA5	10	4	2	5	0	2	14	53	51	40	60	19
GATA6	591	72	66	55	10	158	830	976	1472	786	1061	930
GATA6-AS1	37	0	2	11	4	2	90	66	171	131	183	112
GATAD1	673	1293	1104	793	186	936	1131	748	1468	1201	1368	2256
GATAD2A	944	716	815	1661	79	329	899	1441	2346	989	1410	1186
GATB	187	263	262	159	12	147	174	121	242	128	168	251
GATC	622	433	578	337	52	665	477	498	920	546	618	754
GATD1	688	930	513	346	132	139	702	612	1433	805	1250	1069
GATD3B	65	87	365	66	9	86	138	54	191	43	172	125
GATM	130	1832	153	53	3	638	211	55	257	217	192	185
GBA2	1033	1536	591	1122	99	388	1321	1283	2527	1218	1949	1564
GBE1	211	162	385	340	24	596	354	628	970	456	466	708
GBF1	1293	1400	459	988	94	155	1281	1269	2000	975	1662	1930
GBGT1	89	64	78	175	6	54	118	106	254	80	232	187
GBP1	2073	1429	1217	4305	30	707	933	1152	2384	986	1735	824
GBP1P1	62	36	68	173	6	67	59	43	117	83	58	50
GBP2	1260	1900	944	3907	70	444	1028	934	1545	951	1343	882
GBP3	614	689	851	1064	29	777	622	592	1279	1194	1024	1677
GBP4	1359	988	487	1542	24	298	1967	1679	4104	4019	2821	1967
GBP5	874	1171	299	3226	4	246	245	193	385	162	352	168
GBP6	14	4	61	100	6	6	16	8	40	10	22	251
GCA	487	680	484	853	50	1659	654	698	875	492	804	971
GCAT	72	183	200	110	19	74	91	73	63	63	88	89
GCC1	337	108	221	287	28	136	520	396	652	314	445	411
GCC2	805	698	346	685	108	508	1018	900	1561	988	1075	1818
GCDH	216	175	380	143	30	197	265	180	277	143	266	252
GCFC2	395	298	419	326	74	466	366	336	475	346	408	475
GCH1	870	2756	417	389	42	2978	337	827	641	183	511	378
GCLC	471	3039	1271	886	274	604	359	278	820	312	546	1163
GCLM	369	309	358	167	107	504	526	802	877	301	561	700
GCN1	2174	1866	1218	1313	227	506	1486	1469	2422	1449	2025	1835
GCNA	43	45	21	21	2	14	39	18	60	39	64	28
GCNT1	122	57	1184	501	5	1786	123	114	290	139	196	298
GCNT3	110	2485	1091	68	11	1068	2	8	32	0	87	22
GCNT4	62	32	16	10	6	47	96	167	216	82	166	171
GCSH	33	62	87	38	6	47	32	17	40	24	40	33
GDAP1	131	70	744	181	20	270	157	205	272	103	246	254
GDAP2	238	163	362	250	91	353	238	312	448	241	315	445
GDE1	1558	470	1331	1368	104	4285	1447	1150	2115	748	1574	1847
GDF10	122	0	12	8	0	30	546	171	324	94	418	376
GDF11	106	86	298	262	6	100	191	187	374	258	330	192
GDF15	685	802	830	195	60	505	438	610	680	64	627	203
GDF7	28	249	14	8	14	2	40	16	84	95	59	86
GDI1	1862	1745	1357	3018	286	971	2259	2265	4346	1993	4093	2807
GDI2	2247	793	3193	1182	70	3865	1646	1934	2922	1448	1718	2279
GDPD1	76	168	188	66	15	202	71	30	46	34	48	141
GDPD3	142	65	50	99	20	10	148	44	99	186	88	99
GDPD5	235	159	540	261	68	126	335	385	718	573	618	329
GDPGP1	66	72	43	69	2	36	94	34	104	60	77	58
GEM	626	333	357	585	22	1156	331	826	1204	218	1063	350
GEMIN2	78	58	409	99	35	1643	109	68	84	77	86	89
GEMIN4	188	74	243	292	70	82	519	317	447	399	546	611
GEMIN5	245	227	361	183	18	271	495	505	808	404	444	619
GEMIN6	105	192	651	216	16	483	104	96	167	131	104	155
GEMIN7	144	174	312	303	21	191	120	106	209	136	189	165
GEMIN8	280	254	295	227	52	291	299	323	582	339	452	594
GEN1	406	447	387	348	67	233	337	149	340	224	783	263
GET1	209	114	574	207	17	588	420	221	520	294	367	561
GET3	540	291	973	468	8	1299	626	554	945	449	585	761
GET4	423	1181	1115	837	203	413	622	495	826	498	944	605
GFER	392	276	559	233	14	165	244	239	429	212	361	327
GFI1	109	178	31	184	2	55	57	115	109	14	90	39
GFM1	781	436	1338	731	70	830	650	734	1190	596	688	954
GFM2	368	372	259	234	58	640	315	358	613	276	414	981
GFOD1	291	72	48	229	16	48	1020	610	954	1299	477	1008
GFOD2	336	236	211	239	16	93	435	411	1008	591	458	627
GFPT1	2282	2352	1221	1670	294	1746	1211	1397	2163	694	1222	2089
GFPT2	330	295	84	384	8	117	261	1318	994	109	1431	160
GFRA1	98	0	6	9	4	80	350	217	381	256	298	466
GFRA3	383	0	70	10	14	216	30	4	16	8	42	18
GGA1	963	1392	793	909	168	264	1028	1018	1359	765	1568	1339
GGA2	1484	1381	854	1524	302	502	2327	1817	2986	2033	3059	3663
GGA3	727	2095	544	743	111	167	828	673	1110	735	1150	1097
GGACT	75	212	144	80	6	85	40	31	97	49	57	77
GGCT	738	925	3975	1418	205	1794	410	532	643	306	525	430
GGCX	1828	587	808	559	145	504	748	808	1196	740	866	882
GGH	498	464	2260	578	14	1260	241	128	152	93	178	224
GGPS1	572	736	1023	781	120	1839	570	538	945	444	670	719
GGT1	210	400	64	351	23	8	366	271	675	297	234	401
GGT5	223	281	216	869	8	117	213	369	600	148	432	221
GGT6	168	2	276	181	32	10	121	92	174	110	220	346
GGT7	419	284	599	233	61	225	554	409	668	363	588	718
GGTA1P	114	187	80	146	9	127	219	208	418	213	390	274
GGTLC1	98	2	21	6	69	18	1031	617	435	576	461	575
GHDC	309	329	580	451	17	141	534	466	812	523	689	543
GHITM	2395	1777	3447	847	225	3554	2376	2584	4256	1689	2565	2948
GHR	55	12	8	24	0	56	232	213	451	198	187	208
GID4	161	52	159	140	38	56	242	175	352	275	195	273
GID8	1258	702	1741	1419	98	924	891	680	1292	732	928	1089
GIGYF1	859	2613	430	2496	356	200	1729	917	1912	1752	2090	1851
GIGYF2	924	968	413	917	60	524	1003	997	1618	931	912	1651
GIHCG	26	25	77	27	0	187	59	44	63	39	57	121
GIMAP1	165	90	25	115	8	27	506	548	1422	967	577	414
GIMAP2	165	188	117	277	6	422	244	207	560	477	241	208
GIMAP4	574	667	255	677	20	414	1200	1674	3727	2219	1195	1092
GIMAP6	479	215	103	272	12	90	1769	1441	3895	2967	1252	1333
GIMAP7	355	339	106	244	12	166	877	858	2063	1724	758	521
GIMAP8	310	148	38	202	10	109	1220	1200	4145	3622	1931	1300
GIN1	48	61	99	50	8	166	82	96	164	116	81	168
GINM1	625	406	1687	913	62	1900	1298	1057	1827	1031	1401	1316
GINS1	233	115	1180	447	16	277	14	18	42	16	12	22
GINS2	83	281	389	133	8	671	8	10	36	8	26	20
GINS3	54	50	359	140	14	121	48	62	173	114	60	125
GINS4	154	57	461	105	2	135	35	21	25	13	21	33
GIPC1	1337	786	1431	1488	159	591	1673	2040	2860	1501	2230	1642
GIPC2	82	123	6	14	0	56	273	170	306	365	84	226
GIPC3	93	28	20	54	10	10	214	173	456	301	182	149
GIPR	117	130	25	90	10	15	245	78	168	73	233	659
GIT1	742	601	706	1134	35	108	1560	1352	2581	1269	1555	1430
GIT2	724	675	444	697	109	589	854	716	1178	912	858	1093
GJA1	2610	295	811	590	34	1229	4382	7871	6962	1865	4917	2585
GJA4	207	86	74	56	16	39	679	589	841	951	634	698
GJA5	284	149	360	116	26	156	533	635	3283	1278	991	642
GJB1	217	464	4	0	2	26	58	22	36	16	61	81
GJB2	137	487	562	326	4	566	8	87	34	4	60	14
GJB3	34	86	92	266	0	4	12	56	64	2	20	98
GJC1	218	50	478	97	24	43	472	350	963	1075	995	549
GJC2	37	93	18	32	0	2	108	73	113	117	68	96
GJD3	158	108	64	307	0	22	291	192	424	335	314	245
GK	425	1530	183	422	29	330	272	366	464	105	827	678
GK5	424	578	378	436	84	222	530	359	635	906	725	1176
GKAP1	74	45	73	73	54	218	117	79	189	110	112	151
GKN2	302	0	16	4	8	30	794	780	1511	425	826	899
GLA	478	1955	429	613	41	336	252	302	562	161	468	313
GLB1	854	671	574	657	14	804	774	657	1158	472	864	994
GLB1L	199	325	62	109	8	43	188	114	241	83	185	596
GLB1L2	224	136	273	247	60	76	196	145	231	97	241	743
GLB1L3	4	8	16	6	60	14	2	4	9	8	50	40
GLCCI1	359	500	188	244	678	374	842	311	717	353	594	902
GLCE	863	593	368	342	36	674	637	475	722	737	469	901
GLDC	60	110	59	22	0	269	27	9	25	7	27	24
GLDN	156	10	13	90	18	275	392	422	611	187	1408	622
GLE1	433	324	481	767	121	400	550	309	656	403	507	882
GLG1	1798	1733	844	2225	208	784	2561	2250	3665	2333	2788	3180
GLI1	39	14	6	25	0	11	36	6	17	12	37	39
GLI2	86	50	10	30	6	30	78	73	47	20	93	97
GLI3	122	16	36	94	21	66	201	170	342	181	361	287
GLI4	106	307	236	158	40	47	145	105	192	140	178	129
GLIDR	19	4	21	21	1	71	36	26	53	37	52	74
GLIPR1	343	381	283	392	11	413	219	200	656	141	327	435
GLIPR1L1	23	12	4	8	2	18	30	3	20	28	37	34
GLIPR1L2	16	4	6	2	0	14	54	10	60	21	8	162
GLIPR2	825	290	516	1065	28	694	964	1136	1668	589	2783	2297
GLIS3	240	78	90	212	12	156	309	273	389	84	292	737
GLMN	116	118	340	95	43	374	127	113	176	88	171	124
GLMP	753	1150	1026	708	61	409	420	337	634	295	620	453
GLO1	1856	857	6301	2147	154	5106	2189	2104	3984	2054	2274	2856
GLOD4	651	443	1293	1352	116	855	845	703	1266	715	1054	1042
GLOD5	20	8	8	6	2	24	20	14	22	6	26	20
GLRB	68	10	337	129	6	290	117	54	69	32	58	131
GLRX	424	3961	930	698	67	708	680	724	886	442	949	700
GLRX2	101	106	261	140	40	209	87	59	148	50	83	101
GLRX3	748	805	1315	1246	103	2458	596	582	1107	425	867	792
GLRX5	555	210	1123	627	56	569	512	426	670	411	491	463
GLS	3276	1319	774	863	587	7226	2747	2658	4967	2943	5024	3566
GLT1D1	10	5	1	31	0	70	16	14	30	14	38	13
GLT8D1	592	587	764	530	83	1036	906	629	1257	703	1115	1407
GLT8D2	84	33	247	186	20	477	212	146	211	94	233	279
GLTP	776	431	666	501	102	897	1191	1104	1428	766	1263	995
GLUD1	1450	1500	2333	1203	159	2670	2004	1964	4192	1707	3072	2912
GLUL	19788	11758	6325	34303	721	9210	16983	16633	23627	7853	20279	28847
GLYCTK	109	1242	96	63	8	37	132	106	251	146	303	159
GLYR1	1390	1362	1218	944	153	587	1575	1505	2814	1384	1782	2352
GM2A	2618	3044	946	4150	16	566	1265	1147	2690	821	2107	1414
GMCL1	449	305	961	491	60	670	386	278	562	391	406	644
GMDS	492	438	695	440	39	284	138	128	245	105	148	260
GMDS-DT	24	87	33	39	8	51	34	36	38	41	48	76
GMEB1	234	331	183	228	42	102	292	196	436	286	326	276
GMEB2	436	306	288	380	44	52	414	386	588	291	706	353
GMFB	1592	844	1201	796	96	3817	1169	1406	2325	881	1610	1589
GMFG	458	660	281	624	22	717	892	726	1427	626	1493	662
GMIP	428	359	142	744	24	123	305	292	563	208	653	368
GMNN	267	213	1243	370	58	694	191	100	176	124	120	260
GMPPA	554	1154	410	566	31	203	297	342	532	288	560	468
GMPPB	309	596	132	253	26	69	311	379	621	177	440	476
GMPR	258	37	79	152	4	66	133	110	271	145	195	223
GMPS	931	558	1926	934	44	667	660	745	1259	594	733	995
GNA11	901	152	277	641	42	121	1810	1441	3041	1580	2091	2209
GNA12	898	451	677	1151	24	343	1084	1132	1929	846	1210	1108
GNA13	1770	998	1462	1553	39	1494	1560	2261	3834	1211	2624	1531
GNA14	216	179	58	169	58	738	301	186	473	290	398	580
GNA15	297	173	129	387	2	92	195	334	444	59	584	253
GNAI1	266	522	285	274	24	316	669	402	809	747	570	769
GNAI2	3116	1999	1952	4096	125	621	6613	6937	12040	5659	8329	6381
GNAI3	1460	650	2820	993	107	1792	1483	1766	2865	1108	1595	1486
GNAL	24	81	16	50	4	278	95	90	119	70	148	193
GNAO1	26	32	10	68	2	20	30	44	74	4	87	34
GNAQ	1497	965	854	1689	107	1869	3551	2845	5328	2948	2961	3955
GNAS	12424	11360	30979	18527	4299	7238	13539	11846	21612	10693	15928	12400
GNAZ	37	9	18	28	0	9	68	40	168	124	103	120
GNB1	4555	2859	4365	5931	522	2740	6411	6840	11532	6081	7311	7340
GNB1L	60	53	47	57	12	6	55	57	70	26	71	64
GNB2	1991	1291	2070	2799	105	678	2981	3058	4793	1995	3493	3163
GNB3	22	12	24	6	2	8	22	5	28	28	40	28
GNB4	1234	825	595	1052	34	730	938	930	2127	1135	1260	1113
GNB5	236	280	166	288	6	378	294	238	562	226	461	590
GNE	413	252	304	206	14	148	445	335	727	420	505	837
GNG11	854	383	412	234	34	1260	3019	1717	3902	3847	3681	1561
GNG12	789	953	1661	1036	48	3856	1739	1837	3543	1904	2268	2592
GNG12-AS1	13	13	9	14	1	9	12	11	32	13	23	34
GNG2	322	270	106	325	4	204	485	281	595	367	439	296
GNG5	1252	1054	2694	1743	152	2507	1952	2027	3009	1125	1840	1520
GNG7	112	72	18	60	2	54	328	162	571	304	441	212
GNGT2	27	39	19	42	0	24	71	30	100	44	70	32
GNL2	894	1167	989	1159	187	539	812	1183	1766	416	1371	841
GNL3	1014	1877	1389	935	287	1909	758	1452	1736	493	1726	962
GNL3L	534	259	334	373	25	195	325	428	505	402	429	642
GNLY	226	284	94	279	4	87	170	247	506	98	246	85
GNPAT	798	921	1197	879	169	1224	653	650	1211	706	885	955
GNPDA1	499	757	772	502	34	577	354	341	673	341	473	469
GNPDA2	93	80	208	248	6	469	237	220	484	188	231	376
GNPNAT1	1360	1038	1923	518	53	1624	393	502	799	322	585	441
GNPTAB	1493	652	558	776	175	934	1259	952	1919	1166	1148	1947
GNPTG	610	1126	1072	759	134	222	754	598	1293	500	848	805
GNRH1	49	22	6	45	8	6	48	23	62	57	149	64
GNRHR2	4	6	16	12	2	20	8	4	29	16	7	18
GNS	3839	2142	1627	3152	230	2288	3317	3321	6402	2965	4039	4471
GOLGA1	415	593	169	536	87	166	517	376	730	418	638	768
GOLGA2	1342	1451	367	1922	272	268	1503	1153	1820	1131	1791	1746
GOLGA2P5	139	136	158	211	147	26	297	93	251	152	310	775
GOLGA3	2114	1057	535	1234	379	413	1128	1100	2074	1390	1796	1538
GOLGA4	1530	1772	502	864	192	758	1805	2031	3158	1546	2009	2332
GOLGA5	1146	437	990	1150	122	978	794	723	1244	541	813	1105
GOLGA7	952	369	1865	612	40	2064	821	863	1299	838	827	879
GOLGA7B	697	24	70	124	65	601	78	38	76	28	137	54
GOLGA8A	814	814	111	457	1333	1025	1803	961	1399	2003	2195	2693
GOLGA8B	378	1664	235	661	565	531	813	1288	1792	1318	3236	2151
GOLGA8N_2	27	2	0	0	6	10	60	0	9	36	27	60
GOLGB1	2938	1993	1022	2005	225	578	2490	2498	3827	2281	3430	3904
GOLIM4	595	103	329	492	32	241	911	724	1207	851	655	1015
GOLM1	2058	2651	1709	6120	33	5798	545	628	823	261	772	1874
GOLPH3	2798	2137	1544	2816	289	2772	2325	2158	3419	1333	2198	2591
GOLPH3L	375	537	479	666	58	1151	499	496	704	424	393	929
GOLT1A	137	674	158	68	15	248	89	149	172	93	159	52
GOLT1B	1006	848	1056	692	58	3174	652	740	1128	436	923	746
GON4L	593	798	346	775	128	253	644	769	1084	676	782	933
GOPC	467	552	986	640	111	756	677	586	1087	849	866	1084
GORAB	158	420	229	310	88	590	147	162	226	219	300	238
GORASP1	585	998	321	473	93	256	1275	1402	2368	1134	1890	1673
GORASP2	2052	1857	1134	1440	117	1290	1363	1652	2217	776	1448	1375
GOSR1	839	881	799	904	80	445	829	788	1386	522	925	1174
GOSR2	911	635	1206	644	104	598	781	854	1671	862	864	1153
GOT1	697	973	1046	468	29	719	405	683	859	238	533	479
GOT2	872	666	2274	772	112	859	924	941	1642	655	943	1034
GPA33	14	2	4	43	4	20	131	50	97	39	73	319
GPAA1	1964	1788	1698	1436	139	418	1218	799	1554	823	1339	1140
GPALPP1	274	374	539	282	58	362	432	429	695	422	488	704
GPAM	141	154	225	115	187	178	228	164	417	322	126	994
GPAT2	33	126	156	40	6	5	72	74	30	44	79	67
GPAT3	75	186	50	6	18	38	129	161	270	40	149	101
GPAT4	2698	926	985	1251	134	264	1475	1370	2396	1045	2179	1316
GPATCH1	146	254	171	312	14	97	148	109	200	138	126	256
GPATCH11	161	97	295	188	25	255	253	192	384	297	315	460
GPATCH2	274	392	407	341	86	417	235	383	609	181	505	498
GPATCH2L	773	325	694	679	122	491	721	759	1208	684	972	1125
GPATCH3	152	242	107	177	6	44	244	159	293	179	260	222
GPATCH4	370	308	498	269	8	151	280	474	598	215	424	225
GPATCH8	828	554	617	799	36	346	913	1060	1487	963	1075	1469
GPBAR1	29	14	4	12	0	0	25	35	32	16	35	12
GPBP1	1475	1227	1779	1576	259	1987	1707	1756	2949	1447	2292	2096
GPBP1L1	1553	1521	1279	2338	354	1225	2113	1503	2995	2197	2000	2583
