Gene	t_7	t_8	t_9	t_10	t_11	t_12	n_1	n_2	n_3	n_4	n_5	n_6
LOC102724250	51	23	14	74	9	13	118	86	136	179	74	217
LOC102724330	69	72	158	92	6	105	51	16	76	60	61	83
LOC102724517	23	36	14	37	5	115	26	34	59	40	59	39
LOC102724532	23	19	48	10	0	75	42	36	83	29	44	65
LOC102724562	79	2400	29	8	36	12	43	20	37	32	31	30
LOC102724638	1827	925	126	291	0	492	84	49	433	6	302	93
LOC102724660	12	297	29	43	5	39	10	71	35	35	49	73
LOC102724740	33	127	25	4	4	22	64	71	154	171	75	119
LOC102724748	72	61	6	31	9	37	97	83	93	74	207	74
LOC102724770	18	20	15	24	4	10	27	15	32	12	16	30
LOC102724788	141	21	21	17	8	6	129	105	358	5	366	144
LOC102724814	48	57	25	45	10	21	78	75	92	64	132	88
LOC102724965	7	6	8	12	10	8	8	12	32	13	13	33
LOC102724983	16	49	7	92	40	23	26	59	56	37	56	68
LOC102724999	568	720	186	1581	1	342	201	120	1360	2	545	127
LOC102725003	82	203	7	315	0	44	43	28	906	1	82	14
LOC102725228	25	32	21	30	6	2	35	42	24	19	52	29
LOC102725258	11	2	4	6	0	4	23	18	57	55	55	87
LOC103344931	56	37	18	52	14	48	120	65	150	128	148	126
LOC104968399	3	37	2	6	1	14	8	24	7	7	15	20
LOC105369147	81	55	58	21	5	171	167	53	185	65	56	191
LOC105369151	20	30	2	18	4	6	20	10	30	2	28	18
LOC105369194	2	4	0	0	0	10	54	39	101	46	47	69
LOC105369201	17	0	234	10	6	42	11	4	15	6	23	27
LOC105369212	28	6	2	7	4	8	85	53	73	54	104	68
LOC105369325	43	29	8	38	0	30	12	6	59	5	73	27
LOC105369352	20	1	12	7	0	1	36	21	55	17	70	20
LOC105369370	117	0	2	14	2	2	0	0	0	0	4	2
LOC105369477	87	36	48	32	25	40	109	97	148	132	114	193
LOC105369632	23	13	6	5	6	6	13	12	26	26	26	33
LOC105369690	13	33	2	8	0	12	25	10	20	10	20	22
LOC105369748	39	37	6	20	5	15	40	30	49	92	38	66
LOC105369779	66	44	28	97	4	48	71	64	166	67	95	95
LOC105369812	21	6	37	49	4	43	44	36	108	69	154	67
LOC105369816	17	18	4	12	7	6	6	8	28	8	12	28
LOC105369968	26	27	5	29	0	10	13	20	33	16	20	6
LOC105370455	19	0	35	22	42	255	27	14	30	6	30	49
LOC105370504	15	10	12	10	0	6	34	14	10	24	21	43
LOC105370525	45	22	4	10	0	2	33	32	45	91	150	69
LOC105370532	8	22	22	16	0	46	30	10	20	14	35	24
LOC105370567	16	8	4	28	0	4	16	10	26	18	40	20
LOC105370573	8	19	9	17	8	8	10	14	19	4	31	41
LOC105370579	26	22	10	20	8	33	33	26	40	24	56	54
LOC105370624	22	28	33	35	4	30	15	9	55	8	18	36
LOC105370689	27	20	36	16	2	21	15	1	9	20	20	19
LOC105370910	20	38	16	27	2	11	38	31	44	45	30	176
LOC105371026	15	24	21	20	6	0	12	17	44	18	32	28
LOC105371049	84	23	25	32	3	2	21	11	19	4	16	35
LOC105371058	40	233	1	104	10	16	75	94	107	135	247	124
LOC105371084	33	20	13	8	4	3	19	28	31	8	35	15
LOC105371114	34	2	51	4	21	40	76	34	151	31	114	401
LOC105371159	29	9	13	7	6	5	16	10	27	15	36	24
LOC105371267	149	12	16	22	0	216	342	121	645	56	618	2248
LOC105371414	50	30	9	6	15	6	42	42	80	68	35	112
LOC105371441	104	18	8	17	2	4	98	59	109	35	260	40
LOC105371450	37	67	48	48	22	22	69	71	129	32	175	119
LOC105371453	6	363	95	180	97	14	48	18	46	27	28	11
LOC105371461	28	21	10	20	2	6	12	4	17	4	54	2
LOC105371492	50	57	36	25	42	2	65	49	90	58	142	74
LOC105371493	11	27	21	11	19	5	18	13	33	12	60	22
LOC105371630	9	26	4	8	0	11	30	15	28	14	40	19
LOC105371692	26	63	6	21	0	7	11	19	43	22	43	35
LOC105371730	23	6	10	10	2	8	100	88	537	86	67	192
LOC105371870	22	27	8	51	9	32	56	23	97	48	56	39
LOC105371873	20	17	0	10	20	2	76	42	69	11	72	4
LOC105371912	24	28	20	20	6	0	10	14	50	8	43	14
LOC105371932	19	26	19	45	2	30	36	11	38	30	34	61
LOC105371941	5	17	14	11	0	15	28	14	20	9	8	24
LOC105371942	22	20	25	6	0	10	16	24	60	22	57	43
LOC105372098	17	9	0	2	10	4	29	15	17	14	31	52
LOC105372117	36	69	5	46	12	4	26	16	33	36	60	78
LOC105372141	22	21	10	10	2	4	16	18	39	12	34	34
LOC105372273	10	12	8	8	2	8	30	17	54	25	101	45
LOC105372300	18	54	6	19	2	10	12	8	33	12	23	16
LOC105372310	38	262	24	4	16	96	19	26	19	40	20	26
LOC105372321	8	38	0	39	14	34	24	4	4	49	8	19
LOC105372401	12	2	2	10	2	5	20	10	32	32	16	19
LOC105372480	11	2	54	26	1	18	7	16	32	16	21	19
LOC105372482	43	23	33	65	0	24	29	16	43	44	41	49
LOC105372578	300	180	246	98	40	984	735	447	697	258	455	741
LOC105372579	19	4	21	11	14	6	7	0	8	8	19	26
LOC105372705	11	10	28	10	6	5	14	18	40	6	20	24
LOC105372707	63	10	127	153	34	5	109	90	107	145	152	59
LOC105372824	2	20	12	6	2	0	18	13	27	25	32	23
LOC105372857	28	32	3	15	2	23	18	5	23	4	11	5
LOC105372860	181	306	119	128	8	43	103	160	182	125	233	282
LOC105372976	20	21	4	16	16	0	20	8	22	36	49	36
LOC105373041	21	14	10	18	1	6	8	26	27	10	36	20
LOC105373077	14	12	9	11	0	20	29	20	20	18	16	16
LOC105373095	131	190	90	101	24	39	195	161	294	218	343	317
LOC105373098	50	27	8	18	3	30	4	3	8	4	7	2
LOC105373159	31	40	22	33	4	46	16	18	16	8	6	34
LOC105373195	129	147	43	10	17	270	70	16	62	85	54	140
LOC105373311	44	6	10	6	0	16	40	366	162	8	182	19
LOC105373334	14	2	34	12	2	52	23	11	32	6	16	14
LOC105373373	10	0	0	0	4	8	26	24	34	40	20	109
LOC105373383	0	28	26	44	6	22	14	6	14	8	8	8
LOC105373422	16	17	43	27	0	12	36	24	22	26	45	27
LOC105373456	21	9	9	41	3	35	16	17	19	5	20	23
LOC105373511	21	50	15	7	9	14	20	16	40	26	43	33
LOC105373581	32	4	11	49	6	12	22	40	36	3	35	83
LOC105373582	34	157	6	11	0	12	23	8	4	47	10	38
LOC105373585	20	4	18	28	0	30	14	10	26	8	2	44
LOC105373716	28	37	14	2	12	4	30	30	22	49	16	177
LOC105373774	18	34	10	16	10	10	12	10	16	18	19	14
LOC105373957	24	76	9	21	9	188	19	30	68	38	19	74
LOC105373975	13	7	0	32	2	5	17	44	78	32	48	33
LOC105373991	12	83	4	17	4	40	41	20	32	42	41	46
LOC105374013	129	41	12	37	0	7	74	85	51	125	119	203
LOC105374085	17	8	6	18	0	11	38	17	29	16	13	76
LOC105374128	16	0	2	2	6	6	125	39	148	41	117	53
LOC105374162	25	24	4	14	7	2	19	12	42	28	42	70
LOC105374179	26	0	0	2	4	0	53	6	43	67	39	39
LOC105374187	18	16	4	8	0	3	36	24	16	42	44	42
LOC105374352	29	42	2	29	2	34	14	2	10	12	36	16
LOC105374363	50	135	68	48	7	15	27	34	56	27	47	64
LOC105374407	21	13	12	18	0	11	20	25	54	12	29	40
